 
Zone db temperature (degC)
For zone: room
 
#Time "Base case       ","U01 0.33        ","U01 0.60        ","U01 0.90        ","U01 1.37        ","U01 3.16        ","U01 0.89        ","U01-0.62        ","U01 1.30        ","M-C run:   9    ",
34.35937,10.7354,10.7314,10.7346,10.7337,10.7327,10.7310,10.7232,10.7327,10.7370,10.7313
34.36979,10.7657,10.7621,10.7650,10.7642,10.7633,10.7618,10.7544,10.7633,10.7671,10.7620
34.38020,10.8049,10.8017,10.8043,10.8035,10.8027,10.8013,10.7945,10.8028,10.8061,10.8016
34.39062,10.8648,10.8620,10.8643,10.8637,10.8629,10.8616,10.8552,10.8629,10.8659,10.8619
34.40104,10.9321,10.9296,10.9317,10.9311,10.9305,10.9293,10.9233,10.9305,10.9330,10.9295
34.41145,11.0023,11.0001,11.0019,11.0014,11.0009,10.9998,10.9942,11.0009,11.0029,11.0000
34.42187,11.0728,11.0709,11.0725,11.0721,11.0716,11.0707,11.0654,11.0716,11.0732,11.0708
34.43229,11.1349,11.1333,11.1348,11.1344,11.1340,11.1332,11.1283,11.1340,11.1352,11.1333
34.44270,11.1830,11.1818,11.1829,11.1826,11.1823,11.1816,11.1772,11.1823,11.1832,11.1818
34.45312,11.2219,11.2210,11.2219,11.2217,11.2215,11.2209,11.2169,11.2215,11.2219,11.2210
34.46354,11.2587,11.2582,11.2589,11.2587,11.2586,11.2581,11.2546,11.2586,11.2585,11.2582
34.47395,11.2981,11.2979,11.2983,11.2982,11.2982,11.2979,11.2949,11.2981,11.2976,11.2979
34.48437,11.3416,11.3418,11.3420,11.3420,11.3420,11.3418,11.3393,11.3420,11.3410,11.3419
34.49479,11.3887,11.3892,11.3891,11.3892,11.3893,11.3892,11.3871,11.3892,11.3880,11.3892
34.50520,11.4466,11.4473,11.4471,11.4472,11.4473,11.4474,11.4456,11.4473,11.4458,11.4474
